# Global annual emissions for CFC-113 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-05-06 14:15:45.388743+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
1992,6,1992.46,116.3231706374127,7.464080898465126
1993,6,1993.46,102.02802303191373,6.11004129978872
1994,6,1994.46,76.59501907225953,6.292871584392563
1995,6,1995.46,42.37760929957312,5.953746936645361
1996,6,1996.46,30.21721742569345,5.880459160895516
1997,6,1997.46,18.117416805690763,5.916665711475709
1998,6,1998.46,12.614862826541241,5.791863295010379
1999,6,1999.46,18.15263881756972,5.919619421993421
2000,6,2000.46,14.498670607531366,5.844817792588816
2001,6,2001.46,14.29958676870586,5.709497597296003
2002,6,2002.46,4.366000163824072,5.661860575565394
2003,6,2003.46,6.3563285254580615,5.74036582718596
2004,6,2004.46,5.780136858314127,5.517034075184835
2005,6,2005.46,9.51839787330572,5.649718697120682
2006,6,2006.46,6.528450270387342,5.358193456623392
2007,6,2007.46,-0.4609059572841326,5.4218057386257845
2008,6,2008.46,2.274677860901283,5.398100406493209
2009,6,2009.46,8.704377016585878,5.342697869879118
2010,6,2010.46,2.6950960151493013,5.268061806081535
2011,6,2011.46,4.860347993108742,5.20491071379096
2012,6,2012.46,1.9811003907920224,5.3322873036674325
2013,6,2013.46,5.4423568324939895,5.269231100461648
2014,6,2014.46,6.504870237486711,5.090319047912401
2015,6,2015.46,6.186456524345967,4.958704881047921
2016,6,2016.46,5.515971813483894,4.981165844118855
2017,6,2017.46,8.644849662506937,4.969838451986009
2018,6,2018.46,2.9780095151792274,4.891179402117847
2019,6,2019.46,0.9139085411982054,4.797526482101438
2020,6,2020.46,6.41727306183176,4.8389938109719886
2021,6,2021.46,7.948856089745259,26.01988746197864
