# Global annual mole fraction for CFC-113 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-05-06 14:15:45.347241+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_annual_mole_fraction,Global_annual_mole_fraction_1-sigma
1992,6,1992.46,80.16584468913356,1.1774767742613914
1993,6,1993.46,82.24313765236809,1.2077784773796212
1994,6,1994.46,83.69109645827645,1.2296129739045851
1995,6,1995.46,83.88286717006805,1.2317295656244038
1996,6,1996.46,83.98216316732022,1.232784533566951
1997,6,1997.46,83.53827742796456,1.2264597967664566
1998,6,1998.46,82.90793618834395,1.2175659321168362
1999,6,1999.46,82.4583727974583,1.2094825747866098
2000,6,2000.46,81.92967686462433,1.203006334135814
2001,6,2001.46,81.52215972347855,1.1972523886777975
2002,6,2002.46,80.87910167616356,1.1861623672706516
2003,6,2003.46,80.15359608248863,1.1757470567103268
2004,6,2004.46,79.41311169479148,1.1653044214445074
2005,6,2005.46,78.80217584345849,1.1568088760426702
2006,6,2006.46,78.20272625302849,1.1481537781260132
2007,6,2007.46,77.36218749192345,1.1361626815041788
2008,6,2008.46,76.52747080689916,1.122770005868942
2009,6,2009.46,75.92984194482432,1.1137937891074758
2010,6,2010.46,75.28880189160975,1.1053720233249693
2011,6,2011.46,74.57949817453284,1.094302436046417
2012,6,2012.46,73.89486134391971,1.0841088685709663
2013,6,2013.46,73.21293755924395,1.074115971211447
2014,6,2014.46,72.60642155873218,1.0657268005231113
2015,6,2015.46,72.03626244280744,1.0569497949450115
2016,6,2016.46,71.4574448040527,1.0495049033182988
2017,6,2017.46,70.87524664506672,1.0400235805705398
2018,6,2018.46,70.32445983923097,1.0320106549659167
2019,6,2019.46,69.63661756846012,1.0223234119155125
2020,6,2020.46,68.97079999296274,1.0127590169538123
2021,6,2021.46,68.48897938373526,1.1009360136309485
