# Global annual mole fraction for CFC-114 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-05-06 13:47:15.376901+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_annual_mole_fraction,Global_annual_mole_fraction_1-sigma
1978,6,1978.46,8.789415397081475,0.30010428026774877
1979,6,1979.46,9.353825110955126,0.307248323073434
1980,6,1980.46,9.927551653281705,0.3148625015746501
1981,6,1981.46,10.502963701934421,0.33752614888229576
1982,6,1982.46,11.05059018409775,0.3580496281598345
1983,6,1983.46,11.513706880894956,0.36823139460942006
1984,6,1984.46,11.97967319657784,0.381994470247663
1985,6,1985.46,12.566681143971971,0.3997496830056655
1986,6,1986.46,13.281193941554934,0.4202162628135871
1987,6,1987.46,14.026341481072441,0.44181239076470713
1988,6,1988.46,14.636433192232476,0.4559515309545128
1989,6,1989.46,15.16611880840361,0.47029672418227414
1990,6,1990.46,15.678096699323083,0.4867852427207229
1991,6,1991.46,16.03717893077661,0.4976998296672945
1992,6,1992.46,16.223253941572413,0.5038913814858482
1993,6,1993.46,16.35027800233083,0.5070759259065218
1994,6,1994.46,16.465458213561792,0.5100476051735898
1995,6,1995.46,16.543768465091112,0.5117098126302941
1996,6,1996.46,16.579712066506026,0.5141880021655505
1997,6,1997.46,16.597927357732857,0.515071223974901
1998,6,1998.46,16.614581939812,0.5133338249874154
1999,6,1999.46,16.62107970466877,0.5142137870749686
2000,6,2000.46,16.612592049497596,0.5116063872615171
2001,6,2001.46,16.60116185209754,0.5101144258238218
2002,6,2002.46,16.596744799980424,0.510136239177153
2003,6,2003.46,16.599262031356236,0.5101788995557038
2004,6,2004.46,16.581821085538465,0.5092874282567151
2005,6,2005.46,16.54224040706779,0.5080030690263799
2006,6,2006.46,16.508162911406938,0.5070591225116922
2007,6,2007.46,16.478747835855362,0.5062604664449564
2008,6,2008.46,16.45218442833483,0.5049952347363589
2009,6,2009.46,16.424315037911004,0.5042271324814391
2010,6,2010.46,16.391741724798386,0.504083538666262
2011,6,2011.46,16.35858322066166,0.5025002667304294
2012,6,2012.46,16.331933058028024,0.5012229631752926
2013,6,2013.46,16.318759081005343,0.5006239012936118
2014,6,2014.46,16.3072177077531,0.5001748902734101
2015,6,2015.46,16.291511699795088,0.5005849077825771
2016,6,2016.46,16.2791634727072,0.5005571963769989
2017,6,2017.46,16.267057503065733,0.49973379488349023
2018,6,2018.46,16.271542139660905,0.5003601008267019
2019,6,2019.46,16.282752711779025,0.5010520185375656
2020,6,2020.46,16.283222527006362,0.5003795247803972
2021,6,2021.46,16.297135026933624,0.5000528430257796
